2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brinches
0,92.4
1093,1080,1066,1053,1039,1028,1017,1006,995,985,974,963,952,941,930
8149.95,8331.24,8572.92,8572.92,8572.92,8572.92,9077.54,8572.92,8572.92,8572.92,8573.0,8572.92,8572.92,8596.0,8539.21
Pias
0,163.86
2926,2907,2889,2870,2852,2821,2790,2759,2728,2697,2666,2635,2604,2573,2542
13188.19,22671.4,21088.83,14309.4,14302.59,14419.87,13821.7,13881.7,9694.15,7325.16,7333.17,7333.17,7333.17,7169.18,8598.0
União das Freguesias de Serpa (Salvador e Santa Maria)
1,443.73
6365,6332,6299,6266,6233,6170,6107,6043,5980,5917,5854,5791,5727,5664,5601
18206.03,17909.45,19169.17,18815.2,18488.22,18136.96,19941.14,29435.12,19631.57,19684.79,20322.75,28178.53,26597.96,27032.64,25187.83
União das Freguesias de Vila Nova de São Bento e Vale de Vargo
1,300.25
4225,4179,4133,4087,4040,3980,3919,3859,3798,3738,3677,3617,3556,3496,3435
25028.16,25373.88,25861.08,28302.8,17200.79,17145.84,17192.94,12390.84,12753.45,12600.84,11907.53,9600.32,8572.92,8598.0,8598.0